,distance,coauthorship,title1,department1,duration1,title2,department2,duration2,is_same_title,is_same_department,duration_difference,Chair1,Fellow1,Head1,Lecturer1,Professional1,Professor1,Aerospace  Mechanical & Mechatronic Engineering1,Australian Centre for Field Robotics1,Chemical & Biomolecular Engineering1,Civil Engineering1,Electrical & Information Engineering1,Information Technologies1,Chair2,Fellow2,Head2,Lecturer2,Professional2,Professor2,Aerospace  Mechanical & Mechatronic Engineering2,Australian Centre for Field Robotics2,Chemical & Biomolecular Engineering2,Civil Engineering2,Electrical & Information Engineering2,Information Technologies2
932,1.127915507,0,Professor,Civil Engineering,6687,Professor,Civil Engineering,5403,1,1,1284,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
933,1.127922883,0,Professor,Information Technologies,5781,Lecturer,Civil Engineering,472,0,0,5309,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
934,1.128074061,0,Professor,Information Technologies,1765,Fellow,Australian Centre for Field Robotics,4563,0,0,2798,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
935,1.128093287,0,Chair,Electrical & Information Engineering,3233,Professor,Civil Engineering,5403,0,0,2170,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
936,1.128105359,0,Professor,Chemical & Biomolecular Engineering,4920,Fellow,Australian Centre for Field Robotics,4563,0,0,357,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
937,1.128162222,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,Lecturer,Australian Centre for Field Robotics,6610,0,0,52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
938,1.128273088,0,Professor,Australian Centre for Field Robotics,6687,Professor,Information Technologies,5781,1,0,906,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
939,1.128296388,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Chemical & Biomolecular Engineering,2743,1,0,3944,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
940,1.128327187,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,Lecturer,Electrical & Information Engineering,3100,0,0,3458,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
941,1.128361821,0,Fellow,Electrical & Information Engineering,6687,Lecturer,Civil Engineering,1599,0,0,5088,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
942,1.128424443,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Professor,Civil Engineering,1175,1,0,3017,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
943,1.128517476,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Fellow,Information Technologies,391,0,0,6296,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
944,1.128526101,0,Fellow,Civil Engineering,1091,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,0,0,3101,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
945,1.1285333,0,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,Fellow,Aerospace  Mechanical & Mechatronic Engineering,5039,0,1,2880,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
946,1.128617572,0,Professor,Information Technologies,6543,Professor,Civil Engineering,3457,1,0,3086,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
947,1.128703211,0,Fellow,Australian Centre for Field Robotics,3408,Lecturer,Civil Engineering,870,0,0,2538,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
948,1.12871074,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,1,1,2495,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
949,1.129097923,0,Professor,Chemical & Biomolecular Engineering,6687,Fellow,Australian Centre for Field Robotics,2118,0,0,4569,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
950,1.129210225,0,Lecturer,Electrical & Information Engineering,422,Fellow,Information Technologies,391,0,0,31,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
951,1.129279297,0,Fellow,Civil Engineering,6687,Lecturer,Electrical & Information Engineering,3100,0,0,3587,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
952,1.129398885,0,Fellow,Civil Engineering,1091,Lecturer,Information Technologies,699,0,0,392,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
953,1.129403114,0,Chair,Electrical & Information Engineering,3233,Fellow,Australian Centre for Field Robotics,1371,0,0,1862,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
954,1.129534261,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,Professor,Information Technologies,3968,1,0,2590,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
955,1.129547244,0,Fellow,Electrical & Information Engineering,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,0,0,2495,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
956,1.12963117,0,Professor,Information Technologies,1765,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,1,0,4793,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
957,1.129642547,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Information Technologies,6543,1,0,144,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
958,1.129682093,0,Professor,Chemical & Biomolecular Engineering,6687,Professor,Information Technologies,5781,1,0,906,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
959,1.129710349,0,Fellow,Electrical & Information Engineering,6687,Professor,Civil Engineering,6687,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
960,1.129761185,0,Fellow,Australian Centre for Field Robotics,2118,Lecturer,Electrical & Information Engineering,422,0,0,1696,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
961,1.129859481,0,Professor,Australian Centre for Field Robotics,6666,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,0,0,4507,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
