Truth, Neural Network
0.0,5056.938976497993
0.0,2286.056501968074
0.0,1976.1609982041805
0.0,1845.4826285913887
0.0,1837.4920505867829
0.0,2103.861129467138
0.0,130.72566589049575
0.0,2.1011400874263075
0.0,2693.942107459782
0.0,2211.7106617743025
0.0,2978.0856406477496
0.0,3906.6935491999798
0.0,3859.315265986391
0.0,6234.1463053065145
0.0,127.8415587662428
0.0,205.00655404355294
0.0,3629.531703667224
0.0,2693.9038981950994
0.0,359.5304268491915
0.0,3272.1350098095572
0.0,3629.454327161235
0.0,1357.3591124383756
0.0,2918.703649833011
0.0,649.6362124117016
31.0,3247.8468861872707
0.0,2794.931430881571
0.0,3285.011440532147
0.0,2.069873595593004
0.0,653.538311950279
0.0,899.0434564762932
0.0,6319.373232890922
1.0,1633.5322750597595
0.0,5908.478505669985
0.0,129.7424261861625
3.0,313.767253665598
0.0,1282.261792703871
0.0,268.4937369954094
0.0,2087.117018951145
0.0,833.7051578247563
0.0,1712.838830904848
0.0,6262.857193947037
0.0,299.1162809418378
0.0,3247.309876616608
0.0,1860.2428166833365
0.0,613.086109948
0.0,3225.625798317213
0.0,2386.069714336435
1.0,1510.7688312262876
0.0,1.0612903016398452
0.0,261.4087453604858
0.0,3997.8546289340306
0.0,3036.4423708949125
0.0,2.105052522763918
0.0,144.69645549250524
0.0,3199.674411549434
0.0,4990.745556750751
0.0,2194.878123960088
0.0,5991.707739200365
0.0,2962.3725455801764
0.0,1098.0006220002808
0.0,3199.7571003157236
0.0,2.0778745720024663
0.0,35.83692554802556
0.0,1273.2763239073097
0.0,5464.93330867051
0.0,5583.834510392413
0.0,3663.1536977122632
0.0,2285.105320119605
2.0,1860.1844515479204
0.0,695.0892270166545
0.0,2693.9132053946378
0.0,1388.0480379495907
0.0,571.4462316629744
0.0,3198.8407663106154
0.0,6154.066338837551
0.0,1166.3705227407495
0.0,3419.7524715523055
0.0,6134.174292458085
0.0,4038.449882837783
0.0,4606.6163232386025
0.0,3143.4816676904743
0.0,3285.033926162628
0.0,3091.9601865148074
0.0,5430.349886313882
0.0,3663.1861882322073
0.0,4093.837016413889
0.0,6411.369991573959
0.0,3091.9974578286506
0.0,780.3059476509491
0.0,391.15635518068035
0.0,1030.777658812699
0.0,1880.1459182575788
0.0,5506.54221578662
0.0,6289.729068729909
0.0,4631.365246805737
0.0,5365.879636432065
0.0,1273.2853529971221
0.0,1378.1705985175245
0.0,3199.8004189147964
0.0,2284.104887106428
0.0,4522.55136974835
0.0,2246.470646100244
0.0,5264.030111009112
0.0,6289.696073956769
2.0,1183.0700628104673
0.0,4874.948605341621
0.0,4723.508890298626
0.0,5038.254293497559
0.0,6075.782151849707
0.0,1029.8209667904018
0.0,144.5829954072663
0.0,2309.727169908711
0.0,1721.779274892162
0.0,405.01668138673284
0.0,1789.0518733518452
0.0,5583.821516385212
0.0,3547.3231365370216
0.0,5981.665478879881
0.0,3420.5745495676647
0.0,2028.5739920131282
0.0,1602.9721539670593
0.0,3420.5588374561116
1.0,1101.0164068234762
0.0,2194.9229246949744
1.0,6224.217134891247
0.0,2829.6438297123455
0.0,1809.788380149513
0.0,1751.4492508153212
0.0,3223.642051286101
0.0,1779.1360335607137
0.0,898.961940014405
0.0,3647.352192849724
0.0,6204.49865329879
0.0,1961.2614383378811
0.0,4524.390655196556
0.0,2357.348059171227
0.0,2743.4031362047076
3.0,78.22175377581272
0.0,2311.8138988002042
0.0,1.1198950514973274
0.0,2967.109718160028
0.0,3859.3119951929343
0.0,3629.496125594511
0.0,1914.8152965693537
0.0,3418.6507739868557
0.0,1317.7678098994847
0.0,2524.6378711933476
0.0,3126.613757123285
0.0,81.39086422433016
0.0,3552.254569738214
0.0,738.78769847666
0.0,2376.285845626755
0.0,2495.9742040762744
0.0,3858.1727586286497
0.0,1713.9137696770017
0.0,1872.3168531554925
0.0,6289.686747308616
0.0,5264.020488276737
0.0,19.913992000904557
0.0,3137.528174825883
0.0,2715.741900068895
0.0,1026.8743079734006
0.0,6235.113235277905
0.0,3199.677174437574
0.0,4524.486556327138
0.0,1236.639575562145
0.0,1927.637215863885
0.0,2473.086143421233
0.0,6009.538688394636
0.0,3199.8262109402385
0.0,3406.7312605558573
0.0,5541.16276123183
0.0,3629.497082909814
2.0,533.6928368768653
0.0,543.5825132378924
0.0,3521.6216387095956
24.0,2901.4417250476467
0.0,113.03553474847351
0.0,1023.8295404017792
0.0,1950.4924317154366
0.0,1018.7644391694532
0.0,4493.865547099553
0.0,1190.0939911650767
0.0,549.5321342038166
0.0,1751.4261784752678
0.0,440.74589086497895
0.0,5306.527179295621
0.0,6224.375125578098
2.0,23.698173849867516
0.0,2746.464807828998
0.0,1912.8186455817342
0.0,5067.045872982817
0.0,2773.1697138560116
0.0,2005.914226655918
0.0,2711.8121270294814
0.0,2002.9295062431172
0.0,1366.3083320905166
0.0,5506.6295305301
0.0,354.58874017664436
0.0,137.85306416123822
0.0,3829.4841075079603
0.0,2262.4224128607543
